,game_id,vencedor_id,perdedor_id
0,2010020011,11,15
1,2010020024,6,27
2,2010020028,2,3
3,2010020037,15,2
4,2010020053,11,24
5,2010020065,20,22
6,2010020070,21,3
7,2010020080,16,23
8,2010020118,4,7
9,2010020125,8,2
10,2010020134,30,15
11,2010020150,16,30
12,2010020162,30,28
13,2010020163,23,22
14,2010020166,12,2
15,2010020172,24,14
16,2010020193,16,11
17,2010020205,12,22
18,2010020225,26,25
19,2010020230,13,30
20,2010020235,23,10
21,2010020238,5,11
22,2010020295,17,20
23,2010020327,15,14
24,2010020331,3,13
25,2010020335,5,20
26,2010020347,17,29
27,2010020358,22,8
28,2010020376,20,30
29,2010020384,5,29
30,2010020385,14,21
31,2010020401,6,7
32,2010020434,27,25
33,2010020436,30,26
34,2010020446,25,28
35,2010020457,18,28
36,2010020464,19,26
37,2010020475,27,2
38,2010020478,25,29
39,2010020493,23,19
40,2010020500,26,21
41,2010020504,17,23
42,2010020535,26,28
43,2010020548,30,28
44,2010020551,29,10
45,2010020552,11,6
46,2010020562,19,27
47,2010020573,11,8
48,2010020574,13,3
49,2010020586,30,1
50,2010020589,17,22
51,2010020598,10,19
52,2010020610,23,22
53,2010020631,10,26
54,2010020637,27,29
55,2010020667,18,16
56,2010020671,28,19
57,2010020688,14,29
58,2010020693,3,10
59,2010020699,15,2
60,2010020703,17,19
61,2010020707,27,26
62,2010020746,25,22
63,2010020749,23,18
64,2010020756,2,11
65,2010020767,23,27
66,2010020771,10,12
67,2010020787,4,25
68,2010020815,24,23
69,2010020818,5,26
70,2010020824,29,21
71,2010020828,24,20
72,2010020832,14,12
73,2010020840,12,11
74,2010020853,23,30
75,2010020880,1,12
76,2010020883,27,18
77,2010020899,30,22
78,2010020900,1,25
79,2010020926,17,7
80,2010020929,9,4
81,2010020930,15,2
82,2010020931,6,23
83,2010020932,14,3
84,2010020935,1,13
85,2010020943,15,2
86,2010020953,1,14
87,2010020963,8,13
88,2010020965,18,23
89,2010020977,16,10
90,2010021006,20,25
91,2010021026,11,4
92,2010021029,17,19
93,2010021033,5,22
94,2010021036,7,9
95,2010021043,3,2
96,2010021057,8,14
97,2010021064,19,26
98,2010021066,15,1
99,2010021087,26,20
100,2010021150,10,6
101,2010021205,5,2
102,2010021213,27,28
103,2010021218,4,2
104,2010021225,28,27
105,2010030164,28,26
106,2010030165,26,28
107,2010030235,18,23
108,2010030245,17,28
109,2010030316,14,6
110,2010030321,23,28
111,2010030417,6,23
112,2011020010,6,14
113,2011020019,5,20
114,2011020024,22,5
115,2011020025,21,6
116,2011020029,15,14
117,2011020037,1,26
118,2011020059,25,29
119,2011020073,4,9
120,2011020081,15,4
121,2011020090,26,27
122,2011020095,18,20
123,2011020099,9,29
124,2011020113,14,7
125,2011020114,5,2
126,2011020124,19,23
127,2011020130,9,13
128,2011020136,12,16
129,2011020148,30,17
130,2011020211,3,9
131,2011020216,10,19
132,2011020225,7,9
133,2011020231,1,15
134,2011020251,30,29
135,2011020254,13,25
136,2011020295,13,1
137,2011020301,1,29
138,2011020315,4,8
139,2011020318,16,24
140,2011020324,10,25
141,2011020329,6,52
142,2011020347,19,15
143,2011020351,20,18
144,2011020372,8,26
145,2011020397,52,6
146,2011020428,19,28
147,2011020433,3,13
148,2011020436,6,26
149,2011020450,24,27
150,2011020463,9,5
151,2011020492,2,52
152,2011020500,10,7
153,2011020505,20,17
154,2011020509,1,15
155,2011020520,7,15
156,2011020550,23,24
157,2011020553,3,13
158,2011020554,18,19
159,2011020555,16,17
160,2011020588,9,14
161,2011020594,3,5
162,2011020596,21,16
163,2011020600,25,22
164,2011020608,27,2
165,2011020616,6,52
166,2011020619,3,27
167,2011020621,4,12
168,2011020625,16,29
169,2011020634,12,14
170,2011020646,24,22
171,2011020662,22,26
172,2011020667,6,13
173,2011020681,15,8
174,2011020688,2,4
175,2011020697,16,13
176,2011020703,2,12
177,2011020708,18,16
178,2011020710,30,25
179,2011020711,20,22
180,2011020713,6,4
181,2011020723,10,2
182,2011020727,4,13
183,2011020729,18,16
184,2011020734,23,22
185,2011020747,23,16
186,2011020750,10,5
187,2011020753,26,29
188,2011020765,20,16
189,2011020766,29,24
190,2011020776,25,30
191,2011020795,27,25
192,2011020796,21,16
193,2011020817,13,1
194,2011020847,6,8
195,2011020879,3,29
196,2011020883,9,2
197,2011020917,26,16
198,2011020931,24,16
199,2011020933,18,26
200,2011020955,29,21
201,2011020980,21,30
202,2011021008,8,22
203,2011021013,20,52
204,2011021014,15,6
205,2011021018,1,2
206,2011021030,3,2
207,2011021031,26,16
208,2011021042,25,30
209,2011021043,16,19
210,2011021044,20,28
211,2011021053,4,2
212,2011021055,12,19
213,2011021058,20,27
214,2011021064,26,24
215,2011021076,4,5
216,2011021082,6,10
217,2011021090,5,52
218,2011021094,25,27
219,2011021106,23,25
220,2011021107,27,21
221,2011021132,6,24
222,2011021137,20,25
223,2011021143,2,5
224,2011021169,6,2
225,2011021189,5,6
226,2011021194,52,13
227,2011021198,27,29
228,2011021220,16,17
229,2011030113,3,9
230,2011030127,15,6
231,2011030155,26,23
232,2011030162,19,28
233,2011030164,19,28
234,2011030312,1,3
235,2011030415,1,26
236,2012020007,14,15
237,2012020019,16,27
238,2012020036,10,5
239,2012020047,21,29
240,2012020053,14,9
241,2012020058,3,10
242,2012020062,26,27
243,2012020068,14,4
244,2012020077,26,23
245,2012020083,2,5
246,2012020084,14,13
247,2012020089,30,16
248,2012020090,22,27
249,2012020095,5,3
250,2012020099,18,26
251,2012020101,15,4
252,2012020125,27,30
253,2012020127,24,28
254,2012020136,18,19
255,2012020154,6,14
256,2012020171,16,18
257,2012020193,15,14
258,2012020204,26,29
259,2012020207,2,1
260,2012020212,5,7
