,Unnamed: 0,player_id,nationality,team_id,primaryPosition
0,0,8467412,UKR,1.0,LW
4,213,8468501,RUS,1.0,D
6,506,8459670,FIN,4.0,D
8,849,8471233,CAN,1.0,C
9,1475,8475640,SWE,4.0,D
10,1575,8476177,CAN,4.0,RW
12,2054,8464977,LTU,1.0,C
14,2481,8474190,CAN,4.0,RW
17,3200,8464975,CAN,4.0,C
20,3545,8468534,SWE,4.0,D
22,3660,8475603,USA,4.0,C
23,3667,8472410,USA,1.0,RW
25,3992,8474037,USA,4.0,LW
27,4627,8473542,USA,23.0,LW
31,4778,8476457,SWE,1.0,D
33,5294,8474631,CAN,4.0,D
34,5340,8472382,USA,1.0,D
35,6030,8474641,CAN,1.0,C
37,6652,8474161,CZE,4.0,RW
39,7368,8476461,CAN,4.0,C
40,7970,8460720,CAN,2.0,LW
43,8144,8469454,RUS,1.0,LW
45,8426,8475170,CAN,4.0,C
48,9063,8470609,CAN,1.0,RW
51,9413,8465210,CZE,14.0,D
53,9574,8471816,USA,1.0,D
55,9987,8468486,CAN,4.0,LW
58,10594,8470123,USA,1.0,RW
60,10724,8470640,USA,4.0,D
63,11212,8473512,CAN,4.0,C
64,11946,8475775,CAN,4.0,LW
68,12035,8470920,CAN,1.0,RW
71,12413,8470601,CAN,4.0,D
73,13131,8475342,DNK,4.0,D
74,13147,8470171,CAN,4.0,C
78,13570,8474892,CAN,4.0,LW
79,13612,8476158,CAN,18.0,LW
84,13707,8475185,SWE,1.0,C
86,14028,8472394,USA,1.0,D
88,14174,8462535,CAN,4.0,LW
89,14265,8448208,CZE,4.0,RW
95,14764,8469623,CZE,1.0,D
99,15175,8474736,CAN,4.0,C
103,15540,8473646,USA,1.0,LW
108,15919,8471269,SWE,4.0,D
112,16303,8470610,USA,1.0,LW
114,16902,8475430,CAN,4.0,D
117,17160,8460626,CAN,1.0,D
118,17360,8460465,CZE,1.0,RW
119,17460,8460542,CZE,1.0,C
120,17844,8471636,USA,1.0,LW
121,17936,8476209,USA,1.0,RW
122,17979,8471236,SVK,4.0,D
125,18261,8473580,CAN,1.0,D
126,18283,8471365,USA,1.0,C
127,18290,8473944,USA,1.0,RW
128,18292,8475248,SWE,1.0,D
130,18326,8473592,RUS,1.0,RW
131,18368,8467436,USA,1.0,D
132,18376,8475060,USA,14.0,D
134,18438,8473927,CAN,16.0,C
136,18474,8475199,CAN,1.0,D
138,18664,8474582,SWE,1.0,RW
139,18784,8467452,USA,26.0,D
142,19261,8471718,CAN,21.0,C
143,19418,8470662,CAN,26.0,C
146,19654,8476404,CAN,26.0,C
147,19814,8474594,RUS,26.0,D
148,20068,8475160,CAN,26.0,LW
149,20730,8471208,CAN,26.0,RW
153,21020,8474518,USA,26.0,D
155,21096,8473908,CAN,26.0,RW
158,21262,8465185,CAN,26.0,D
160,21627,8471685,SVN,26.0,C
161,22386,8475726,CAN,26.0,RW
162,22890,8474638,CAN,26.0,D
165,22932,8470755,CAN,26.0,C
168,23468,8475325,CAN,26.0,C
171,23873,8474563,CAN,26.0,D
172,24640,8474162,CAN,26.0,D
174,25224,8474166,USA,26.0,D
175,25840,8474681,RUS,26.0,C
178,25996,8468526,CAN,26.0,C
181,26502,8470604,CAN,26.0,C
184,27180,8470606,USA,26.0,RW
185,27946,8470121,USA,26.0,D
186,28308,8466182,SWE,1.0,D
188,28521,8471733,CAN,18.0,LW
190,28647,8475223,CAN,23.0,RW
193,28786,8467346,CAN,26.0,LW
197,28963,8470617,CAN,26.0,C
200,29424,8473453,USA,26.0,C
201,30110,8474100,CAN,26.0,LW
203,30550,8474066,CAN,2.0,D
204,31023,8468508,CAN,26.0,RW
207,31825,8473419,CAN,6.0,LW
208,32594,8470905,CAN,14.0,D
210,32699,8474749,USA,6.0,D
214,32973,8471717,CAN,6.0,D
217,33525,8471916,CAN,14.0,LW
218,33539,8471276,CZE,6.0,C
219,34271,8470187,CAN,6.0,D
221,34964,8471514,CAN,6.0,C
224,35265,8471314,USA,14.0,D
227,35380,8475167,SWE,14.0,D
228,36086,8470230,CAN,6.0,LW
230,36460,8467925,USA,14.0,RW
233,36741,8469765,CAN,14.0,D
235,36846,8467329,CAN,14.0,C
238,37219,8467967,CAN,6.0,C
241,37714,8470638,CAN,6.0,C
242,38471,8468575,CAN,14.0,C
247,39072,8450725,CAN,6.0,RW
248,39178,8470596,CAN,6.0,RW
250,39425,8471767,CAN,14.0,C
253,39526,8470634,USA,14.0,D
254,39560,8474564,CAN,14.0,C
255,40215,8474002,USA,21.0,D
256,40218,8473473,CAN,6.0,LW
259,40993,8474000,USA,13.0,D
263,41197,8465978,CAN,6.0,LW
265,41674,8469619,DEU,6.0,D
267,42209,8465056,CAN,6.0,C
268,42210,8466142,CAN,14.0,D
272,42559,8470804,CAN,14.0,D
273,42564,8470169,CAN,6.0,C
275,43063,8474095,CAN,14.0,C
277,43205,8465009,SVK,6.0,D
278,43949,8467988,USA,14.0,LW
280,44176,8470615,CAN,27.0,C
282,44200,8467545,CAN,6.0,RW
286,44566,8465200,CZE,6.0,D
290,44755,8466333,CAN,6.0,D
292,45138,8471703,CAN,14.0,RW
297,45454,8466378,CAN,14.0,RW
299,45878,8465122,CAN,14.0,D
301,46068,8474657,CAN,6.0,C
302,46069,8473962,CAN,14.0,LW
306,46558,8470176,FIN,14.0,LW
309,46844,8471668,SWE,14.0,C
310,46881,8470775,USA,14.0,C
315,47522,8475794,CAN,6.0,C
317,48257,8460503,SWE,14.0,D
318,48347,8475150,CAN,6.0,RW
321,48513,8460661,CAN,6.0,D
322,48520,8471958,CAN,3.0,D
324,49283,8471873,SWE,3.0,D
327,49975,8473932,CAN,4.0,C
330,50195,8475118,USA,3.0,D
334,50359,8470192,CAN,3.0,D
335,50516,8475243,USA,3.0,C
336,50517,8474230,CAN,3.0,C
340,50776,8474151,USA,3.0,D
342,51505,8458938,CZE,3.0,D
345,51691,8462033,CAN,6.0,D
347,51725,8465025,CAN,3.0,RW
349,51886,8467881,CAN,3.0,LW
352,52171,8473544,CAN,3.0,C
358,52929,8471686,CAN,3.0,D
359,53612,8470232,CAN,3.0,C
361,53644,8475692,NOR,3.0,RW
363,54228,8476462,CAN,6.0,D
366,54771,8470041,CAN,3.0,LW
369,55399,8469534,CAN,6.0,D
371,55465,8471339,USA,3.0,RW
373,56093,8459454,USA,6.0,LW
375,56173,8473432,CAN,3.0,RW
378,56626,8476468,USA,3.0,C
380,57122,8474772,USA,3.0,D
382,57216,8474850,CAN,16.0,LW
385,57282,8475184,USA,3.0,LW
386,57819,8475186,USA,3.0,D
391,58375,8476792,USA,6.0,D
392,58899,8473484,LVA,6.0,LW
394,58996,8474176,SWE,3.0,LW
399,59671,8471262,SWE,6.0,C
401,60185,8469622,CAN,28.0,LW
404,60456,8467389,CAN,3.0,C
408,60965,8470619,USA,3.0,C
413,61738,8474613,USA,3.0,C
415,62504,8475749,CAN,8.0,LW
418,62531,8474584,CAN,3.0,D
424,63091,8475795,CAN,3.0,D
427,63142,8469755,CAN,3.0,RW
430,63200,8465951,CAN,5.0,LW
432,63542,8469638,FIN,5.0,LW
439,64133,8468542,USA,5.0,D
441,64683,8462042,CAN,5.0,RW
446,65240,8471311,CAN,5.0,C
450,65606,8471675,CAN,5.0,C
451,66280,8466160,CAN,5.0,LW
455,66644,8470543,CAN,5.0,LW
458,67387,8476211,USA,6.0,C
459,67390,8475761,USA,5.0,RW
462,67611,8471724,CAN,5.0,D
463,68221,8468498,USA,5.0,D
465,68901,8466393,CAN,5.0,RW
466,69213,8471246,USA,6.0,LW
467,69231,8471856,USA,5.0,C
469,69488,8471215,RUS,5.0,C
470,70132,8474091,CAN,5.0,C
473,70726,8471702,USA,5.0,D
476,71484,8468114,SWE,5.0,D
479,71754,8465166,CAN,5.0,RW
480,72156,8468674,CAN,5.0,D
483,72824,8471707,CAN,5.0,LW
488,73539,8474138,CAN,5.0,LW
491,73655,8467580,USA,5.0,D
493,73782,8470854,CAN,23.0,LW
498,74261,8475155,CAN,5.0,D
500,74483,8474145,CAN,19.0,D
502,74860,8471716,USA,17.0,LW
503,75539,8471956,CAN,28.0,LW
505,76000,8467331,CAN,17.0,D
508,76363,8467096,CAN,28.0,D
510,76844,8474027,USA,28.0,D
511,77535,8471794,CAN,17.0,C
512,78095,8470622,USA,17.0,RW
516,78461,8459514,CAN,28.0,RW
518,78656,8474032,USA,28.0,D
519,78658,8470273,CAN,28.0,D
523,78860,8471682,CAN,28.0,RW
528,79204,8467928,USA,17.0,D
529,79220,8446485,CAN,17.0,C
530,79275,8470318,SWE,17.0,D
531,79890,8468577,SWE,28.0,D
532,79983,8470794,USA,28.0,C
533,80765,8473465,CAN,28.0,LW
539,81309,8470280,CAN,28.0,LW
542,81471,8471693,CZE,17.0,D
544,81819,8464962,BLR,17.0,D
545,81905,8467514,RUS,17.0,C
546,82299,8466149,CAN,17.0,RW
547,82589,8467478,CAN,19.0,D
551,82689,8470201,CZE,17.0,RW
555,83174,8470047,FIN,17.0,C
559,83923,8468482,CAN,28.0,LW
562,84232,8468083,SWE,17.0,LW
563,84848,8471338,CAN,28.0,C
568,85423,8473558,CAN,17.0,C
569,85580,8474053,CAN,28.0,C
570,86319,8469581,CAN,28.0,C
572,86488,8473562,USA,28.0,C
573,86572,8474090,CAN,17.0,D
575,87027,8466139,CAN,28.0,C
577,87816,8471309,SWE,17.0,RW
578,88131,8466138,CAN,28.0,C
579,88870,8470778,USA,17.0,LW
580,89342,8457063,SWE,17.0,D
581,89510,8471709,CAN,28.0,D
582,90263,8474739,USA,28.0,C
586,90769,8459687,CAN,28.0,C
588,90959,8473600,USA,28.0,RW
591,91041,8475625,CAN,28.0,D
594,91411,8459444,CAN,17.0,RW
595,91654,8473569,SVN,17.0,LW
596,91700,8474218,CAN,28.0,D
600,92294,8470061,CAN,52.0,D
601,92312,8460743,SWE,17.0,LW
602,92475,8468509,SWE,17.0,D
603,93166,8475193,SVK,17.0,LW
606,93698,8467856,USA,17.0,D
607,93772,8449645,USA,17.0,C
608,93814,8467876,SWE,23.0,C
609,94456,8471859,BLR,18.0,LW
610,94676,8467875,SWE,23.0,LW
611,95314,8467330,USA,18.0,C
615,95776,8468485,CAN,23.0,LW
618,96017,8474569,USA,18.0,C
620,96664,8471498,DNK,23.0,RW
622,97230,8468064,CZE,18.0,RW
626,97583,8467370,CAN,18.0,C
628,98138,8468162,CAN,18.0,C
632,98368,8470600,USA,18.0,D
634,99109,8471811,CAN,7.0,C
639,99212,8470642,CAN,18.0,D
641,99861,8470620,CAN,23.0,LW
642,99929,8474096,CAN,18.0,C
646,100389,8460719,CAN,18.0,LW
650,100569,8470054,USA,23.0,D
652,100793,8470274,USA,23.0,LW
654,101195,8474570,CAN,23.0,C
657,101535,8469465,CAN,23.0,D
660,102180,8464957,CAN,18.0,RW
661,102253,8474094,CAN,18.0,RW
663,102530,8469547,CAN,18.0,RW
667,102916,8473608,USA,18.0,C
669,102983,8469626,USA,23.0,D
670,103116,8465202,FIN,23.0,D
672,103357,8470616,USA,23.0,C
674,104034,8470839,CAN,18.0,D
678,104284,8467463,SWE,23.0,RW
681,104466,8470310,CAN,23.0,D
683,104633,8470630,CAN,18.0,D
685,105165,8471664,CAN,23.0,LW
689,105549,8471268,CAN,23.0,RW
690,105585,8471887,SWE,18.0,RW
692,106280,8470358,CAN,23.0,LW
694,106875,8471742,CAN,18.0,D
698,107388,8471303,SWE,23.0,D
699,107989,8470654,CAN,23.0,C
704,108393,8474164,USA,18.0,D
706,108515,8469598,CAN,23.0,D
708,109097,8469555,DEU,23.0,D
713,109488,8468208,CAN,18.0,RW
716,110130,8471741,FIN,18.0,D
717,110141,8474535,USA,25.0,C
720,110198,8474629,CAN,16.0,D
721,110199,8474625,USA,16.0,RW
725,110535,8470666,CAN,16.0,LW
729,110762,8476403,SWE,53.0,D
732,110932,8473537,SWE,16.0,LW
737,111441,8475323,SWE,16.0,C
739,112048,8471769,SWE,16.0,D
741,112779,8474679,SWE,17.0,RW
743,113334,8471245,CAN,16.0,C
746,113635,8475204,CAN,13.0,C
751,113895,8475650,USA,16.0,LW
753,114171,8470281,CAN,16.0,D
754,114931,8474168,SWE,17.0,C
755,115163,8476381,CAN,16.0,RW
757,115739,8468927,CAN,7.0,D
759,115870,8466148,SVK,16.0,RW
760,116432,8470724,CAN,17.0,D
765,116891,8465058,CZE,16.0,D
768,117290,8474727,USA,16.0,RW
772,117554,8470607,CAN,16.0,D
773,118328,8471254,CAN,16.0,LW
775,118771,8475214,USA,16.0,LW
777,118856,8476431,USA,23.0,D
784,118953,8475181,USA,16.0,D
786,119693,8469544,CAN,16.0,LW
788,120304,8469665,SWE,16.0,D
794,120942,8473564,CZE,16.0,RW
798,121621,8473604,CAN,16.0,C
799,122361,8476438,USA,16.0,LW
801,122963,8477059,CHE,17.0,RW
803,123098,8474141,USA,16.0,RW
804,123847,8469470,CAN,17.0,D
808,124093,8475598,CAN,23.0,D
811,124213,8475153,CAN,16.0,D
813,124338,8469992,CAN,24.0,D
815,124544,8462129,SVK,16.0,C
818,124841,8471719,CAN,9.0,LW
820,124922,8467496,RUS,8.0,D
821,125336,8467493,CAN,9.0,RW
822,125804,8475797,USA,8.0,D
824,125863,8476851,USA,8.0,C
826,126381,8474157,USA,8.0,LW
828,127032,8475164,SWE,9.0,RW
830,127593,8471283,CAN,8.0,LW
833,128017,8469521,CZE,8.0,C
835,128679,8467407,USA,8.0,RW
838,129198,8473468,CAN,9.0,D
841,129500,8473588,USA,9.0,RW
844,129898,8476419,CAN,9.0,C
845,130301,8473466,CAN,8.0,C
849,130617,8475848,CAN,8.0,RW
850,131145,8476459,SWE,9.0,C
852,131664,8470599,CZE,9.0,LW
854,132051,8475254,CAN,8.0,C
857,132141,8471296,RUS,8.0,D
859,132636,8475174,CAN,9.0,D
860,132901,8467831,USA,8.0,C
864,133167,8475739,CAN,8.0,LW
866,133294,8470760,CAN,9.0,D
869,133797,8471299,DNK,16.0,C
872,133959,8474605,CAN,9.0,D
874,134234,8474884,CAN,9.0,LW
876,134683,8471976,CAN,8.0,C
879,135252,8474688,USA,8.0,D
882,135506,8470324,CAN,8.0,D
884,135983,8474250,CAN,9.0,LW
885,136618,8474134,CHE,8.0,D
888,137101,8474056,CAN,8.0,D
890,137826,8464956,CAN,9.0,D
891,138159,8476195,CAN,9.0,C
895,138358,8476470,CAN,8.0,D
898,138707,8475183,CAN,8.0,C
899,138757,8468635,CAN,8.0,LW
901,139083,8471504,CAN,8.0,RW
906,139516,8471229,FIN,8.0,C
908,139572,8471663,CAN,8.0,RW
912,139657,8471862,CAN,9.0,C
914,139960,8458951,RUS,9.0,D
917,140294,8474578,SWE,9.0,D
919,140975,8470378,CAN,9.0,D
923,141168,8476244,CHE,8.0,D
927,141382,8471670,CAN,9.0,LW
929,141439,8474068,CAN,9.0,C
932,142102,8474024,USA,9.0,C
934,142186,8474189,DNK,8.0,C
936,142945,8469474,CAN,8.0,RW
938,143065,8460621,SWE,9.0,RW
940,143326,8465914,USA,8.0,D
942,143560,8475913,CAN,9.0,RW
944,143978,8476205,FRA,9.0,C
945,144025,8474683,CAN,24.0,C
951,144237,8476386,USA,2.0,LW
953,144376,8475661,CAN,9.0,LW
954,144402,8476477,CAN,9.0,LW
957,144489,8476474,USA,1.0,RW
959,144652,8476879,CAN,9.0,D
960,145118,8474697,CAN,9.0,D
961,145449,8467336,USA,30.0,LW
964,145674,8470104,USA,30.0,D
969,146088,8470153,CAN,30.0,C
971,146260,8474716,CAN,30.0,D
972,146895,8473504,CAN,30.0,RW
974,147558,8475722,USA,30.0,LW
975,148000,8473992,CAN,30.0,D
980,148280,8476463,SWE,30.0,D
981,148810,8469459,FIN,30.0,C
982,149465,8470803,CAN,30.0,C
985,150182,8470886,CAN,30.0,D
987,150565,8475613,USA,30.0,D
989,150941,8469820,CAN,30.0,C
993,151183,8469506,USA,30.0,RW
995,151898,8474618,CAN,30.0,D
997,152456,8475745,USA,30.0,C
999,153024,8464989,USA,30.0,C
1002,153730,8475798,FIN,30.0,RW
1004,154252,8469542,CAN,30.0,LW
1006,154326,8471352,USA,16.0,C
1009,154462,8475757,CAN,30.0,RW
1010,154480,8474077,CAN,30.0,RW
1011,154496,8471885,USA,30.0,C
1012,154505,8476856,CAN,30.0,D
1013,154875,8476235,CAN,30.0,RW
1014,155092,8473618,CAN,15.0,C
1017,155688,8469639,CAN,15.0,C
1020,156108,8459429,CAN,15.0,C
1023,156269,8474590,USA,15.0,D
1024,157035,8471242,CAN,15.0,D
1026,157596,8471240,CAN,15.0,D
1028,157784,8464979,DEU,15.0,LW
1032,157883,8468611,USA,15.0,LW
1037,158463,8466158,CAN,15.0,D
1042,158793,8467365,CAN,15.0,D
1043,158981,8470159,CAN,15.0,C
1048,159409,8473991,CAN,15.0,D
1050,160103,8470120,RUS,15.0,RW
1053,160449,8469770,CAN,15.0,D
1056,160911,8468846,CAN,15.0,D
1057,160944,8465059,CAN,15.0,RW
1059,161059,8473913,USA,15.0,D
1060,161066,8473911,CAN,23.0,RW
1062,161103,8471214,RUS,15.0,LW
1063,161892,8473563,SWE,15.0,C
1064,162637,8470294,CAN,15.0,LW
1065,162654,8474291,CAN,15.0,C
1067,163254,8458590,USA,15.0,RW
1069,163450,8466251,CAN,15.0,LW
1072,164115,8470611,CAN,15.0,C
1078,164638,8475149,SWE,15.0,LW
1081,165322,8474551,FIN,4.0,LW
1083,165551,8475283,USA,25.0,LW
1086,165572,8467408,CAN,4.0,D
1087,165582,8467361,CAN,4.0,C
1088,165668,8459424,CAN,4.0,D
1089,165734,8470597,RUS,4.0,RW
1090,165798,8470996,CAN,4.0,D
1092,165818,8474163,CAN,4.0,D
1093,165828,8473550,CAN,21.0,D
1095,165865,8474045,CAN,6.0,C
1096,165884,8466145,CAN,4.0,D
